pos_x_m,pos_y_m,elevation
0.0,0.0,86.804618835
-3036.244456769782,-1537.955524276942,67.666152954
-2758.5736832845723,-1520.2197238970548,69.79737854
-1831.2605919020716,-2204.2756308619864,69.330566406
-1799.4731333630625,-2222.5347075732425,69.36491394
-1714.122499537305,-2264.0899115861394,69.658760071
-1669.7307402956067,-2282.3486257065088,69.457290649
-1297.0043960262556,-2448.2790854005143,70.073493958
-1224.1105954902596,-2505.2477921615355,69.976387024
-1264.046567721176,-2466.8722823206335,70.078323364
-52.62470122840023,-3180.523657503072,69.672859192
-2.910513037641067,-3183.123694044538,70.041702271
68.60900274629239,-3177.11571742082,69.949951172
121.09146616561338,-3169.223848267924,70.557723999
175.4085439395276,-3156.241232725326,70.466300964
228.34083769703284,-3139.4042339357547,70.297897339
312.9268685862189,-3102.089148105588,71.217330933
390.2100676895352,-3063.8309981678613,71.484794617
2192.6701000465546,-1552.1921123573557,85.103317261
2199.813891961414,-1511.3204206693918,83.116073608
2248.96964624495,-1332.1751343742944,92.253738403
2214.525145488442,-1400.2036177166738,92.41683197
2411.6009850854753,-1093.0169252357446,94.730484009
2442.001229230431,-1038.8026815853082,95.562194824
2584.9557091443567,-784.3580706859939,92.972244263
2595.9753006770043,-762.09746188391,92.281700134
2700.285026181373,-454.1579942703247,102.587776184
2719.2593434491428,-347.283270010259,102.439331055
2729.1760606261087,-240.51176261529326,101.304336548
2730.4009477488,-202.6304329680279,100.712623596
2730.4316066800966,-165.03437262633815,100.181724548
2736.864871719328,-83.41887790989131,98.999275208
2722.509723541327,164.68831421388313,99.940391541
1681.9581101300428,3804.7546832091175,104.798477173
1684.6932524506701,3735.8165837866254,104.291183472
1680.2618040974485,3829.5068510943092,104.530067444
1693.7993150221882,3796.4833516618237,104.865913391
2018.398400948383,3126.768493932672,103.425643921
2053.0033448752365,3092.7396712517366,103.224464417
2246.1881427855697,2304.518734673038,95.388183594
2252.8585448371596,2262.5505427690223,95.026939392
2500.811993839161,1693.8404285660945,97.223838806
2508.8869319009827,1654.1958877546713,97.628158569
2643.7193520972505,814.1240381123498,101.016975403
2663.0382634777343,741.818015054334,104.530143738
2702.6073631774634,249.43335297424346,100.339935303
2703.533568688261,202.25489387428388,100.24571228
-1482.8436496158247,5.629718784242868,95.671852112
-1470.4302712597419,17.399275083560497,95.867835999
-578.942990393145,1036.4684988488443,108.610603333
-514.3863886219915,1102.9551466316916,107.168182373
-2833.869695037778,-1582.6434328895994,73.831863403
-2830.5692523419857,-1560.0485606882721,73.997520447
-2636.0646740035154,-887.5260340408422,77.145858765
-2597.2715032374253,-838.5661648921669,76.885475159
108.20908536127536,1476.5753138521686,106.561729431
224.61821579397656,1545.9637009170838,104.760650635
532.1979416030226,1725.706021792721,103.278694153
556.716996154224,1742.155927204527,103.436828613
906.4612340264721,2291.2461088364944,127.896629333
1049.8003764386522,2470.691931280773,135.500457764
1517.2792884859955,2943.6346058482304,116.418563843
1527.1820347222965,2962.912998583168,115.778045654
1549.0318963333848,2973.4417697279714,104.76914978
1986.5260777074145,3476.4997311937623,107.022201538
1970.8475249927724,3462.5690456335433,106.863960266
1966.8640746347955,3496.76429564273,106.791984558
1996.8793363061268,3466.4388544000685,106.727226257
2004.3381295216386,3492.1350474525243,107.234237671
2122.9106196800712,3326.412642570678,105.509048462
2087.6877591045923,3373.5464819874614,101.226654053
2146.6463726346265,3291.759805946145,105.332870483
2050.6131197845098,3271.879445959814,102.959960938
2100.920754415856,3579.8044113805518,108.64074707
2149.2982307541533,3622.024748953525,109.017234802
2071.284900585597,3552.299214101862,108.337234497
2301.785794658237,3757.4829179244116,110.828308105
2331.986180665437,3731.8365122196265,110.545722961
2277.508215106209,3735.8244319362566,110.434143066
2353.6818142147386,3804.7417208673432,111.408088684
2265.2325810984476,3789.7153256586753,110.759101868
3353.5117024834035,3867.9692955696955,131.679473877
3347.0939172414364,3860.5369019932114,131.760559082
3398.101905132178,3922.184927447699,130.892868042
2967.768267962674,3575.088998608757,124.292533875
2962.7264677663916,3566.2320526805706,124.403526306
2989.1917341515655,3606.7422566046007,123.816726685
2933.4968292562407,3462.261908110231,125.638008118
2946.0668562687933,3413.3814600715414,126.150390625
2932.838352005754,3465.8741102786735,125.618011475
2598.6974454626325,2654.683034228161,110.416343689
2609.147594213253,2652.640139244497,110.323448181
